문제,gt,ex
발견된 iBGP 누락 페어들(3개)의 라우터 쌍 목록을 나열하세요. (호스트네임 리스트),[],분석된 증거에서 ibgp_missing_pairs 항목이 '없음'으로 표시되어 있어 발견된 iBGP 누락 페어가 없으므로 나열할 라우터 쌍이 없습니다.
장비 PE1에서 'iBGP 세션 페어링 누락(ibgp_missing_pairs_count = 3)'이 보고되었습니다. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요? (정답: 세 개의 명령어 리스트),1,"To diagnose missing iBGP peerings on PE1 you should: 1) inspect BGP neighbor state on the router ID/loopback used for iBGP sessions with `show bgp neighbors Loopback0` to verify session establishment and RIB/adjacency details; 2) check the physical/subinterface toward the first iBGP neighbor with `show bgp neighbors GigabitEtherNet0/0/0/0` to confirm the session and interface reachability; and 3) check the physical/subinterface toward the other iBGP neighbor with `show bgp neighbors GigabitEtherNet0/0/0/1` to confirm that the peer is configured and reachable, allowing you to identify missing pairings or connectivity/configuration issues."
장비 PE3에서 'L2VPN 단방향 VC(유니디렉셔널)가 감지되었습니다 (l2vpn_unidir_count > 0)'. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,2,"First, 'show l2vpn unidirectional' checks and confirms the presence and specifics of any unidirectional VC instances on PE3. Second, 'show l2vpn pwid peer detail' inspects PW ID mappings and peer information to identify mismatched PWIDs such as the sample7<->sample9 pair noted in the evidence. Third, 'show l2vpn xconnect detail' examines the detailed xconnect/VXC configuration and status to verify interface associations and to trace which side of the VC is failing, allowing root-cause isolation."
장비 PE4에서 'L2VPN PWID 불일치(예: l2vpn_pwid_mismatch_pairs 존재)로 서비스 단절이 의심됩니다'. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,"[""sample7"", ""sample9"", 2]","먼저 불일치 쌍에 포함된 엔티티를 확인하기 위해 sample7과 sample9을 각각 조회하고(대상 PE의 양 끝점 확인), 마지막으로 l2vpn_mismatch_count 값을 확인하여 전체 불일치 건수(여기서는 2건)를 확인하면 문제 범위와 영향도를 진단하는 데 도움이 됩니다."
장비 R1에서 'OSPF area 0 인터페이스 수가 예상보다 적음(ospf_area0_if_count 감소)'으로 인한 인접성 문제 의심. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,"[""GigabitEthernet0/0/0/0"", ""GigabitEthernet0/0/0/1"", ""GigabitEthernet0/0/0/2""]","To diagnose a reduced OSPF area 0 interface count on R1, check the main physical interfaces that could participate in area 0 adjacency: GigabitEthernet0/0/0/0, GigabitEthernet0/0/0/1, and GigabitEthernet0/0/0/2. Verifying these interfaces ensures their OSPF settings, IP addressing, and operational state are correct so you can identify why they may not be counted in area 0."
장비 P1에서 '인터페이스 상태 이상(인터페이스가 DOWN 또는 flap 추정)'이 보고되었습니다. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,0,"First, 'show interfaces Ethernet0/0' checks the interface operational status and error/frequency indications to confirm DOWN or flap behavior. Second, 'show interfaces Ethernet0/0 counters' provides detailed packet/error counters (CRC, input errors, output drops, collisions) to help identify physical or link-layer issues causing the flap. Third, 'show logging' retrieves system and interface log messages to correlate timestamps and events (link up/down, carrier changes, LACP or PoE events) for root-cause diagnosis."
장비 PE1의 특정 VRF에서 'Route-Target 미부여(vrf_without_rt_count > 0)'로 L3VPN 경로 누락이 의심됩니다. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,3,첫 번째 명령어 show vrf detail exam-l3vpn은 해당 VRF에 Route-Target이 설정되어 있는지와 VRF의 전반적인 상태를 확인하기 위해 사용합니다. 두 번째 명령어 show vrf interface exam-l3vpn은 VRF에 인터페이스가 바인딩되어 있는지 확인하여 인터페이스 바인딩 문제 여부를 배제하기 위해 실행합니다. 세 번째 명령어 show route-target vrf exam-l3vpn은 실제로 해당 VRF에 배정된 Route-Target 목록을 확인하여 RT 미부여로 인한 L3VPN 경로 누락 여부를 최종적으로 진단하기 위해 사용합니다.
장비 PE2에서 'VRF가 생성되어 있으나 인터페이스 바인딩이 없음(vrf_interface_bind_count = 0)으로 서비스 경로 누락'이 의심됩니다. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,0,"첫째, 'show vrf'로 VRF가 생성되어 있는지와 VRF별 상태를 확인하여 vrf_interface_bind_count=0의 원인을 파악합니다. 둘째, 'show ip interface brief'로 인터페이스가 up 상태인지와 VRF에 바인딩되어 있는지를 빠르게 확인합니다. 셋째, 의심되는 서브인터페이스인 Ethernet0/0.100의 런닝컨피그('show running-config interface Ethernet0/0.100')를 조회하여 VRF 바인딩(config vrf forwarding 또는 ip vrf forwarding) 여부와 관련 설정 누락을 최종 검증합니다."
장비 PE3에서 'BGP 이웃 수가 비정상적으로 적음(bgp_neighbor_count 감소) — BGP 세션 장애 의심'. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,"[""sample7"", ""sample8"", ""sample9""]","첫 번째로 sample7을 실행하여 BGP 이웃의 전체 목록과 세션 수를 확인해 현재 bgp_neighbor_count 감소 상황을 재확인해야 합니다. 두 번째로 sample8을 실행하여 특정 이웃과의 세션 상태(Established 여부, 에러, 재시도 등)와 상세 정보를 점검해야 합니다. 세 번째로 sample9을 실행하여 관련 인터페이스와 루프백(토폴로지) 상태를 확인해 물리적/논리적 연결 문제나 구성 누락 여부를 확인해야 합니다."
장비 PE4에서 '라우팅 테이블에 특정 VRF의 경로가 누락'이 관찰됩니다. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,"[""exam-l3vpn"", ""CE1"", ""GigabitEthernet0/0/0/1.100""]","First check the VRF name (exam-l3vpn) to confirm the affected routing instance and its configuration; next verify the BGP/PE-CE adjacency and route advertisement to the specific neighbor (CE1) since bgp_neighbor_count is 1; finally inspect the relevant interface/subinterface (GigabitEthernet0/0/0/1.100) for VRF binding, encapsulation and reachability that could prevent routes from appearing in the VRF routing table."
장비 PE5(운영망)에서 '프로세스 CPU 사용률 급증'이 탐지되었습니다. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,"[""MgmtEth0/RP0/CPU0/0"", ""Loopback0"", ""GigabitEthernet0/0/0/1""]","우선 관리 Plane와 CPU 관련 인터페이스(MgmtEth0/RP0/CPU0/0)를 확인하여 관리 트래픽이나 CPU 바운드 이벤트 원인을 파악하고, 장치의 논리적 주소·라우팅 상태를 점검하기 위해 Loopback0을 확인하며, 마지막으로 사용자/업링크 트래픽이 집중되는 물리 포트(GigabitEthernet0/0/0/1)를 확인하여 과도한 트래픽이나 오류로 인한 CPU 급증 가능성을 배제하기 위해 이 순서로 실행합니다."
장비 R2에서 'BGP와 L2VPN 연동 문제로 PE 간 L2 서비스 장애 의심(네트워크 상 l2vpn_issues = 2 보고됨)'. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,2,"First, 'show l2vpn xconnect detail sample7 sample9' checks the L2VPN pseudowire/session state between the two paired PEs (sample7 and sample9) reported in the evidence. Second, 'show bgp l2vpn summary' verifies BGP signaling and route/label exchange used for L2VPN distribution to identify BGP-related faults. Third, 'show interface GigabitEthernet0/0/0/1 status' inspects the local interface state on R2 that would affect service continuity for the L2VPN."
